yyyy-mm-dd hh:mm:ss,DELTA_ENERGY,GRID_ENERGY,CHARGE_LEVEL
2020-06-02 12:00:00,473.94,0.0,15000.0
2020-06-02 12:15:00,508.0499999999999,0.0,15000.0
2020-06-02 12:30:00,539.5500000000001,0.0,15000.0
2020-06-02 12:45:00,544.0799999999998,0.0,15000.0
2020-06-02 13:00:00,557.6699999999998,0.0,15000.0
2020-06-02 13:15:00,276.11999999999995,0.0,15000.0
2020-06-02 13:30:00,222.14999999999992,0.0,15000.0
2020-06-02 13:45:00,96.71999999999997,0.0,15000.0
2020-06-02 14:00:00,84.93,0.0,15000.0
2020-06-02 14:15:00,457.2299999999999,0.0,15000.0
2020-06-02 14:30:00,58.61999999999995,0.0,15000.0
2020-06-02 14:45:00,136.88999999999993,0.0,15000.0
2020-06-02 15:00:00,220.70999999999998,0.0,15000.0
2020-06-02 15:15:00,-80.46000000000001,0.0,14919.54
2020-06-02 15:30:00,268.43999999999994,-80.45999999999913,15000.0
2020-06-02 15:45:00,45.93000000000001,0.0,15000.0
2020-06-02 16:00:00,125.09999999999997,0.0,15000.0
2020-06-02 16:15:00,252.5399999999999,0.0,15000.0
2020-06-02 16:30:00,219.06,0.0,15000.0
2020-06-02 16:45:00,105.29999999999995,0.0,15000.0
2020-06-02 17:00:00,89.58000000000004,0.0,15000.0
2020-06-02 17:15:00,159.14999999999998,0.0,15000.0
2020-06-02 17:30:00,77.28000000000003,0.0,15000.0
2020-06-02 17:45:00,120.23999999999995,0.0,15000.0
2020-06-02 18:00:00,130.83,0.0,15000.0
2020-06-02 18:15:00,-27.930000000000035,0.0,14972.07
2020-06-02 18:30:00,108.50999999999996,-27.93000000000029,15000.0
2020-06-02 18:45:00,58.05000000000001,0.0,15000.0
2020-06-02 19:00:00,37.799999999999955,0.0,15000.0
2020-06-02 19:15:00,-12.690000000000055,0.0,14987.31
2020-06-02 19:30:00,-15.569999999999993,0.0,14971.74
2020-06-02 19:45:00,-38.609999999999985,0.0,14933.13
2020-06-02 20:00:00,-7.710000000000008,0.0,14925.42
2020-06-02 20:15:00,3.59999999999998,0.0,14929.02
2020-06-02 20:30:00,-12.81000000000001,0.0,14916.210000000001
2020-06-02 20:45:00,-47.28,0.0,14868.93
2020-06-02 21:00:00,-64.14,0.0,14804.79
2020-06-02 21:15:00,-52.35,0.0,14752.44
2020-06-02 21:30:00,-54.6,0.0,14697.84
2020-06-02 21:45:00,-56.7,0.0,14641.14
2020-06-02 22:00:00,-44.1,0.0,14597.039999999999
2020-06-02 22:15:00,-63.0,0.0,14534.039999999999
2020-06-02 22:30:00,-47.25,0.0,14486.789999999999
2020-06-02 22:45:00,-48.300000000000004,0.0,14438.49
2020-06-02 23:00:00,-64.05,0.0,14374.44
2020-06-02 23:15:00,-57.75,0.0,14316.69
2020-06-02 23:30:00,-49.35,0.0,14267.34
2020-06-02 23:45:00,-61.95,0.0,14205.39
2020-06-03 00:00:00,-54.6,0.0,14150.789999999999
2020-06-03 00:15:00,-42.0,0.0,14108.789999999999
2020-06-03 00:30:00,-40.95,0.0,14067.839999999998
2020-06-03 00:45:00,-30.450000000000003,0.0,14037.389999999998
2020-06-03 01:00:00,-58.800000000000004,0.0,13978.589999999998
2020-06-03 01:15:00,-36.75,0.0,13941.839999999998
2020-06-03 01:30:00,-32.550000000000004,0.0,13909.289999999999
2020-06-03 01:45:00,-28.35,0.0,13880.939999999999
2020-06-03 02:00:00,-24.150000000000002,0.0,13856.789999999999
2020-06-03 02:15:00,-31.5,0.0,13825.289999999999
2020-06-03 02:30:00,-35.7,0.0,13789.589999999998
2020-06-03 02:45:00,-22.05,0.0,13767.539999999999
2020-06-03 03:00:00,-25.200000000000003,0.0,13742.339999999998
2020-06-03 03:15:00,-34.65,0.0,13707.689999999999
